"policy_id","industry","vehicle_type","territory","fleet_size","years_in_business","driver_age","driver_age_band","exposure","claims","total_loss","severity","pure_premium","freq_lambda","sev_mu","pred_freq","pred_sev","pred_pure_premium"
1,"Logistics","Light_Truck","Rural",1,17,63,"61–70",0.51093108265195,0,0,NA,0,0.0410083505558108,7560,0.0438035944422092,8421.03446788776,368.87157861522
2,"Professional","Light_Truck","Urban",21,2,22,"21–30",0.581835238728672,0,0,NA,0,0.0610316073664441,6804,0.086603467441233,7210.09425633233,624.419163176498
3,"Logistics","Delivery_Truck","Urban",18,1,54,"51–60",0.862109742010944,0,0,NA,0,0.254184436334507,16380,0.233381006363324,17427.5893268943,4067.26833559732
4,"Healthcare","Light_Truck","Urban",38,23,48,"41–50",0.870967885595746,0,0,NA,0,0.135452925567851,8316,0.133600788120145,8298.86247915551,1108.73456771588
5,"Healthcare","Light_Truck","Rural",44,21,70,"61–70",0.848097504349425,0,0,NA,0,0.0644367521854607,5544,0.0628731284432113,6385.31147220666,401.46450834196
6,"Construction","Light_Truck","Urban",44,2,23,"21–30",0.622155927703716,0,0,NA,0,0.146312409518083,10584,0.178761903684229,10640.3971765269,1902.09765523224
7,"Retail","Box_Truck","Urban",43,37,66,"61–70",0.713424760382622,0,0,NA,0,0.199259535574866,12600,0.193845169120501,13023.8908142878,2524.61831750256
8,"Healthcare","Delivery_Truck","Suburban",10,18,64,"61–70",0.737026390619576,0,0,NA,0,0.0862320877024904,10010,0.0717584441469606,10711.6956772432,768.654615974696
9,"Retail","Delivery_Truck","Suburban",4,39,23,"21–30",0.91629344818648,0,0,NA,0,0.111971059368388,9100,0.0993353752688194,8728.402931949,867.039180742617
10,"Retail","Light_Truck","Urban",29,5,68,"61–70",0.53359476220794,0,0,NA,0,0.0857219985487056,7560,0.0984090615129463,8114.86501816723,798.576250742075
11,"Healthcare","Cargo_Van","Rural",8,23,39,"31–40",0.91722804820165,0,0,NA,0,0.0566296596959699,6160,0.0570723609824719,6396.34984520722,365.054787335845
12,"Retail","Delivery_Truck","Urban",6,3,49,"41–50",0.93044182297308,0,0,NA,0,0.174178709260561,10920,0.172290283780246,9105.22141445047,1568.74118137765
13,"Professional","Delivery_Truck","Rural",25,9,54,"51–60",0.777108673821203,0,0,NA,0,0.0569270959007722,6552,0.0564222713351228,6563.94999313379,370.352967542773
14,"Retail","Light_Truck","Urban",7,30,24,"21–30",0.612994429888204,0,0,NA,0,0.0802716205938603,7560,0.096702492298668,8065.06751488681,779.912129246579
15,"Construction","Cargo_Van","Urban",37,12,37,"31–40",0.720915327779949,0,0,NA,0,0.178534680924704,11760,0.190838598424989,10928.2779266946,2085.53724272914
16,"Healthcare","Cargo_Van","Suburban",37,38,50,"41–50",0.930511026992463,0,0,NA,0,0.106357410385238,7700,0.0872401262762667,7098.6091639802,619.283559851496
17,"Construction","Light_Truck","Urban",27,15,52,"51–60",0.854025149601512,0,0,NA,0,0.175361254093426,10584,0.190049817862948,11384.5060789553,2163.62330676508
18,"Construction","Cargo_Van","Suburban",1,8,64,"61–70",0.726483703008853,0,0,NA,0,0.0859430220659473,9800,0.0921796582490106,9460.99797692061,872.111560207123
19,"Logistics","Light_Truck","Urban",45,33,33,"31–40",0.603774314746261,0,0,NA,0,0.154053016407508,11340,0.147415244769682,12211.2968428967,1800.13131305086
20,"Healthcare","Delivery_Truck","Urban",2,13,36,"31–40",0.929775752010755,0,0,NA,0,0.150121592919657,12012,0.144997921939587,12491.3294271496,1811.21680919951
21,"Healthcare","Light_Truck","Urban",48,28,42,"41–50",0.851420433144085,0,0,NA,0,0.142757664025269,8316,0.137330465882616,8296.69109599379,1139.38845349698
